day	pv	uv	pv_uv	avg_duration
2019-03-29	189625	5717	33.168619905544865	909.5763902439024
2019-03-28	195597	6681	29.276605298607993	1012.800866066453
2019-03-27	173667	6067	28.6248557771551	942.924579799271
2019-03-26	136074	5178	26.279258400927	915.2487323074209
2019-03-25	76763	3414	22.484768599882834	881.5057775230255
